,S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
678,679,Sangareddy,2018 - 2019,rabi,Groundnut,7.442857143,19.7,40.1666666666667,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,18.96,2.49
679,680,Sangareddy,2019 - 2020,rabi,Groundnut,11.14285714,10.6,45.3,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,16.89,2.32
680,681,Siddipet,2016 - 2017,rabi,Groundnut,4.3,28.6,41.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,10.96,2.07
681,682,Siddipet,2017 - 2018,rabi,Groundnut,7.4,21.4,34.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,11.41,1.75
682,683,Siddipet,2018 - 2019,rabi,Groundnut,12.98571429,19.8666666666667,40.1333333333333,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,17.19,2.26
683,684,Siddipet,2019 - 2020,rabi,Groundnut,11.64285714,9.6,44.4,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,10.52,1.8
684,685,Suryapet,2016 - 2017,rabi,Groundnut,10.91428571,29.6,42.6,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,6.62,1.32
685,686,Suryapet,2017 - 2018,rabi,Groundnut,12.80357143,24.3,36.2,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,8.11,2.09
686,687,Suryapet,2018 - 2019,rabi,Groundnut,11.68571429,22.4,41.5333333333333,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,8.26,1.79
687,688,Suryapet,2019 - 2020,rabi,Groundnut,12.7047619,13.3,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,5.58,2.83
688,689,Vikarabad,2016 - 2017,rabi,Groundnut,4.942857143,27.6,41.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,9.47,1.74
689,690,Vikarabad,2017 - 2018,rabi,Groundnut,9.5,18.4,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,10.14,2.04
690,691,Vikarabad,2018 - 2019,rabi,Groundnut,5.585714286,18.8666666666667,39.9666666666667,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.86,2.46
691,692,Vikarabad,2019 - 2020,rabi,Groundnut,10.25714286,10.6,44.7,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,12.25,2.75
692,693,Wanaparthy,2016 - 2017,rabi,Groundnut,5.8,28.7,41.7,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,8.04,2.39
693,694,Wanaparthy,2017 - 2018,rabi,Groundnut,5.91429,21.5,33.9,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,6.13,2.16
694,695,Wanaparthy,2018 - 2019,rabi,Groundnut,7.45714,21.4,40.0333333333333,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,5.79,3.1
695,696,Wanaparthy,2019 - 2020,rabi,Groundnut,7.08571,14,44.5,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,3.58,3.05
696,697,Warangal,2014 - 2015,rabi,Groundnut,27.617,27.5,43.5,7.56,209,49,552,1.24,24.42,1.87,9.59,6.05,1.76
697,698,Warangal,2015 - 2016,rabi,Groundnut,12.4667,28.7,44.1,7.56,209,49,552,1.24,24.42,1.87,9.59,6.05,1.67
698,699,Warangal,2016 - 2017,rabi,Groundnut,3.93333,30,42.3,7.56,209,49,552,1.24,24.42,1.87,9.59,5.88,2.94
699,700,Warangal,2017 - 2018,rabi,Groundnut,13.8667,20.7,35,7.56,209,49,552,1.24,24.42,1.87,9.59,6.63,2.67
700,701,Warangal,2018 - 2019,rabi,Groundnut,13.1667,23.66,41.92,7.56,209,49,552,1.24,24.42,1.87,9.59,7.84,2.88
701,702,Warangal,2019 - 2020,rabi,Groundnut,15.6167,11.4,44.7,7.56,209,49,552,1.24,24.42,1.87,9.59,3.85,3.17
702,703,Hanumakonda,2016 - 2017,rabi,Groundnut,0.84286,29,43.1,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,5.88,2.07
703,704,Hanumakonda,2017 - 2018,rabi,Groundnut,13.0143,20.1,34.6,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,6.63,2.24
704,705,Hanumakonda,2018 - 2019,rabi,Groundnut,12.5857,19.5666666666667,40.8666666666667,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,7.84,2.49
705,706,Hanumakonda,2019 - 2020,rabi,Groundnut,15.0429,9.6,44.9,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,3.85,2.35
706,707,Yadadri Bhuvanagiri,2016 - 2017,rabi,Groundnut,5.171428571,28.3,41.8,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,9.41,2.07
707,708,Yadadri Bhuvanagiri,2017 - 2018,rabi,Groundnut,11.28571429,20,35.1,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,9.58,2.23
708,709,Yadadri Bhuvanagiri,2018 - 2019,rabi,Groundnut,6.571428571,20.1666666666667,40.7,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,13.64,2.49
709,710,Yadadri Bhuvanagiri,2019 - 2020,rabi,Groundnut,11.27142857,12.2,45.2,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,9.6,2.36
710,711,Adilabad,2014 - 2015,rabi,Maize,22.87142857,28.7,43.5,7.55,180,17.6,284,1.35,14,0.58,12.88,5.4725,3.17
711,712,Adilabad,2015 - 2016,rabi,Maize,14,29.4,44.2,7.55,180,17.6,284,1.35,14,0.58,12.88,5.4725,3.76
712,713,Adilabad,2016 - 2017,rabi,Maize,9.185714286,29.9,43.1,7.55,180,17.6,284,1.35,14,0.58,12.88,3.94,6.8
713,714,Adilabad,2017 - 2018,rabi,Maize,12.12857143,18.5,34.4,7.55,180,17.6,284,1.35,14,0.58,12.88,6.54,10.98
714,715,Adilabad,2018 - 2019,rabi,Maize,3.3,22.3,42.22,7.55,180,17.6,284,1.35,14,0.58,12.88,5.88,5.58
715,716,Adilabad,2019 - 2020,rabi,Maize,14.21428571,5,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,5.53,6.56
716,717,Bhadradri Kothagudem,2016 - 2017,rabi,Maize,12.21428571,30.4,42.7,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,7.1,8.71
717,718,Bhadradri Kothagudem,2017 - 2018,rabi,Maize,8.942857143,23.4,35.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,7.87,7.45
718,719,Bhadradri Kothagudem,2018 - 2019,rabi,Maize,17.9,22.0333333333333,41.7,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,7.23,6.33
719,720,Bhadradri Kothagudem,2019 - 2020,rabi,Maize,12.12857143,12.3,46.8,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,6.52,5.85
720,721,Jagtial,2016 - 2017,rabi,Maize,1.514285714,29.7,43.3,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,4.7,6.82
721,722,Jagtial,2017 - 2018,rabi,Maize,9.814285714,19.4,36.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,6.52,4.5
722,723,Jagtial,2018 - 2019,rabi,Maize,9.514285714,19.4,42.1333333333333,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,5.33,4.54
723,724,Jagtial,2019 - 2020,rabi,Maize,10.67142857,9.1,46.7,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,3.79,5.54
724,725,Jangoan,2016 - 2017,rabi,Maize,2.414285714,29.8,41.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,8.62,5.92
725,726,Jangoan,2017 - 2018,rabi,Maize,12.35714286,18.9,35.7,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,9.16,5.41
726,727,Jangoan,2018 - 2019,rabi,Maize,17.24285714,19.2666666666667,41.0666666666667,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,13.38,5.2
727,728,Jangoan,2019 - 2020,rabi,Maize,9.885714286,9.1,45.6,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,6.86,7.91
728,729,Jayashankar Bhoopalpally,2016 - 2017,rabi,Maize,5.528571429,29.5,42.7,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,7.71,5.98
729,730,Jayashankar Bhoopalpally,2017 - 2018,rabi,Maize,13.65714286,20.3,35.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,9.8,9.75
730,731,Jayashankar Bhoopalpally,2018 - 2019,rabi,Maize,13.11428571,19.6666666666667,41.5333333333333,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,9.54,7.29
731,732,Jayashankar Bhoopalpally,2019 - 2020,rabi,Maize,16.77142857,9.2,46.4,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,9.31,6.98
732,733,Jogulamba Gadwal,2016 - 2017,rabi,Maize,5.4,29.3,41.4,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,6.45,6.8
733,734,Jogulamba Gadwal,2017 - 2018,rabi,Maize,4.77143,22.3,34.4,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,3.94,3.99
734,735,Jogulamba Gadwal,2018 - 2019,rabi,Maize,8.35714,21.8666666666667,40,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,10.74,3.54
735,736,Jogulamba Gadwal,2019 - 2020,rabi,Maize,6.37143,14,44.2,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,7.9,3.77
736,737,Kamareddy,2016 - 2017,rabi,Maize,2.942857143,29.8,41.5,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,9.64,4.46
737,738,Kamareddy,2017 - 2018,rabi,Maize,5,18,33.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,9.92,5.22
738,739,Kamareddy,2018 - 2019,rabi,Maize,3.3,18.9333333333333,40.4,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,14.14,4.67
739,740,Kamareddy,2019 - 2020,rabi,Maize,15.51428571,9,45.9,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,8.31,7.04
740,741,Karimnagar,2014 - 2015,rabi,Maize,15.62857143,28.2,44.2,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,6.5,5.45
741,742,Karimnagar,2015 - 2016,rabi,Maize,14,28.4,44.3,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,6.5,4.82
742,743,Karimnagar,2016 - 2017,rabi,Maize,3.3,29.8,42.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,5.94,8.35
743,744,Karimnagar,2017 - 2018,rabi,Maize,7.771428571,19,34.8,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,8.04,7.37
744,745,Karimnagar,2018 - 2019,rabi,Maize,12.34285714,23.22,42.22,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,8.49,6.95
745,746,Karimnagar,2019 - 2020,rabi,Maize,12.12857143,10.7,45.1,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,3.53,6.12
746,747,Khammam,2014 - 2015,rabi,Maize,11.77142857,28.2,43.6,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,6.53
747,748,Khammam,2015 - 2016,rabi,Maize,20.14285714,28.2,43.7,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,6.53
748,749,Khammam,2016 - 2017,rabi,Maize,14.81904762,29.6,42.3,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,6.21
749,750,Khammam,2017 - 2018,rabi,Maize,17.70357143,23.1,35.7,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,6.71
750,751,Khammam,2018 - 2019,rabi,Maize,16.71428571,24.74,42.16,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,6.02
751,752,Khammam,2019 - 2020,rabi,Maize,21.10952381,14.6,45.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,3.93,7.51
752,753,Komaram bheem asifabad,2016 - 2017,rabi,Maize,7.185714286,30.1,42.9,7.6,155,15.6,285,0.49,15.62,0.39,15.21,6.3,6.8
753,754,Komaram bheem asifabad,2017 - 2018,rabi,Maize,12.31428571,18.2,34.7,7.6,155,15.6,285,0.49,15.62,0.39,15.21,7.47,6.9
754,755,Komaram bheem asifabad,2018 - 2019,rabi,Maize,11.25714286,18.3,41.0333333333333,7.6,155,15.6,285,0.49,15.62,0.39,15.21,6.95,6.5
755,756,Komaram bheem asifabad,2019 - 2020,rabi,Maize,19.85714286,6.6,45.5,7.6,155,15.6,285,0.49,15.62,0.39,15.21,6.14,6.93
756,757,Mahabubabad,2016 - 2017,rabi,Maize,6.642857143,29.6,42.9,7.6,260,20,330,1.56,17.3,3.92,17.5,4.77,6.94
757,758,Mahabubabad,2017 - 2018,rabi,Maize,9.657142857,21.3,37.2,7.6,260,20,330,1.56,17.3,3.92,17.5,5.39,6.67
758,759,Mahabubabad,2018 - 2019,rabi,Maize,13.18571429,21.0666666666667,41.7333333333333,7.6,260,20,330,1.56,17.3,3.92,17.5,6.94,6.81
759,760,Mahabubabad,2019 - 2020,rabi,Maize,9.1,12.3,45.1,7.6,260,20,330,1.56,17.3,3.92,17.5,4.23,5.6
760,761,Mahabubnagar,2014 - 2015,rabi,Maize,16.18571429,27.4,41.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.6775,5.19
761,762,Mahabubnagar,2015 - 2016,rabi,Maize,12.75714286,28.5,43.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.6775,3.96
762,763,Mahabubnagar,2016 - 2017,rabi,Maize,9.7,30,41.9,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.49,6.81
763,764,Mahabubnagar,2017 - 2018,rabi,Maize,8.757142857,20.9,34,7.5,97,35.02,268,0.75,9.8,0.71,8.8,10.66,6.9
764,765,Mahabubnagar,2018 - 2019,rabi,Maize,6.914285714,23.68,41.36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,15.05,6.52
765,766,Mahabubnagar,2019 - 2020,rabi,Maize,14.37142857,11.6,45.4,7.5,97,35.02,268,0.75,9.8,0.71,8.8,12.51,6.93
766,767,Mancherial,2016 - 2017,rabi,Maize,9.6,31.2,43.5,7.52,128,49.4,238,1.65,11.58,2.2,16,3.89,7.51
767,768,Mancherial,2017 - 2018,rabi,Maize,5.85714,19.2,35.4,7.52,128,49.4,238,1.65,11.58,2.2,16,6.01,4.48
768,769,Mancherial,2018 - 2019,rabi,Maize,11,19.8333333333333,41.7,7.52,128,49.4,238,1.65,11.58,2.2,16,5.08,6.16
769,770,Mancherial,2019 - 2020,rabi,Maize,9.77143,9.1,46.2,7.52,128,49.4,238,1.65,11.58,2.2,16,3.63,5.84
770,771,Medak,2014 - 2015,rabi,Maize,24.7,27.1,42.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,15.4875,3.27
771,772,Medak,2015 - 2016,rabi,Maize,10.3,27.8,43.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,15.4875,3.03
772,773,Medak,2016 - 2017,rabi,Maize,3.2,27.8,40.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,11.74,4.27
773,774,Medak,2017 - 2018,rabi,Maize,5.1,19.1,34.7,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,13.95,4.62
774,775,Medak,2018 - 2019,rabi,Maize,5.5,22.36,41.06,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,20.71,5.14
775,776,Medak,2019 - 2020,rabi,Maize,13.1,10,44.4,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,15.55,6.1
776,777,Medchal-Malkajgiri,2016 - 2017,rabi,Maize,6.885714286,28.4,41.3,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,7.78,6.8
777,778,Medchal-Malkajgiri,2017 - 2018,rabi,Maize,10.28571429,21,35.5,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,6.57,6.9
778,779,Medchal-Malkajgiri,2018 - 2019,rabi,Maize,14.78571429,20.3,40.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,13.23,6.51
779,780,Medchal-Malkajgiri,2019 - 2020,rabi,Maize,7.528571429,11.5,43.8,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,9.12,6.9
780,781,Mulug,2018 - 2019,rabi,Maize,13.40571429,10.5,44.5,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,7.06,7.29
781,782,Mulug,2019 - 2020,rabi,Maize,14.37142857,10.5,44.5,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,5.54,10.96
782,783,Nagarkurnool,2016 - 2017,rabi,Maize,7.31429,28.7,41.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.84,6.8
783,784,Nagarkurnool,2017 - 2018,rabi,Maize,7.85714,20.8,34.1,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,11.62,6.9
784,785,Nagarkurnool,2018 - 2019,rabi,Maize,8.35714,20.2333333333333,40.2666666666667,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.07,6.5
785,786,Nagarkurnool,2019 - 2020,rabi,Maize,7.3,11.2,45,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,9.5,6.93
786,787,Nalgonda,2014 - 2015,rabi,Maize,7.042857143,29.1,45,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,9.5525,5.3
787,788,Nalgonda,2015 - 2016,rabi,Maize,14.55714286,29.3,43.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,9.5525,4.98
788,789,Nalgonda,2016 - 2017,rabi,Maize,13.94761905,30,42.6,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,8.06,6.81
789,790,Nalgonda,2017 - 2018,rabi,Maize,15.23928571,23.3,36.3,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,8.64,6.9
790,791,Nalgonda,2018 - 2019,rabi,Maize,13.96571429,24.82,42.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.93,6.5
791,792,Nalgonda,2019 - 2020,rabi,Maize,14.25714286,12.4,46.7,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,8.58,6.92
792,793,Narayanpet,2018 - 2019,rabi,Maize,13.28285714,13.2,44.5,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,13.2,7.13
793,794,Narayanpet,2019 - 2020,rabi,Maize,12.23333333,13.2,44.5,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,9.44,6.94
794,795,Nirmal,2016 - 2017,rabi,Maize,2.514285714,29,42.3,7.45,178,19.7,331,0.35,19.1,0.99,10.36,5.58,8.16
795,796,Nirmal,2017 - 2018,rabi,Maize,12.34285714,18.5,35.6,7.45,178,19.7,331,0.35,19.1,0.99,10.36,9.42,8.67
796,797,Nirmal,2018 - 2019,rabi,Maize,4.214285714,18.4,41.4333333333333,7.45,178,19.7,331,0.35,19.1,0.99,10.36,8.96,8.27
797,798,Nirmal,2019 - 2020,rabi,Maize,6.257142857,7.7,46.4,7.45,178,19.7,331,0.35,19.1,0.99,10.36,6.29,8.8
798,799,Nizamabad,2014 - 2015,rabi,Maize,24.1833,27.9,43.7,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,8.4475,4.98
799,800,Nizamabad,2015 - 2016,rabi,Maize,10.05,29.4,44.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,8.4475,3.65
800,801,Nizamabad,2016 - 2017,rabi,Maize,3.03333,29.9,43,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,6.7,5.83
801,802,Nizamabad,2017 - 2018,rabi,Maize,8.15,19.4,35.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,9.33,6.93
802,803,Nizamabad,2018 - 2019,rabi,Maize,3.16667,23.5,42.52,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,11.28,5.77
803,804,Nizamabad,2019 - 2020,rabi,Maize,11.0167,10.9,45.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,6.48,5.94
804,805,Peddapalli,2016 - 2017,rabi,Maize,4.942857143,30.2,42.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,6.06,9.48
805,806,Peddapalli,2017 - 2018,rabi,Maize,10.34285714,19.5,35.8,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.95,9.71
806,807,Peddapalli,2018 - 2019,rabi,Maize,10.68571429,20.1,41.5666666666667,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,7.31,6.61
807,808,Peddapalli,2019 - 2020,rabi,Maize,9.585714286,10.6,46,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,5.32,7.09
808,809,Rajanna Sircilla,2016 - 2017,rabi,Maize,3.414285714,28.5,42.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,7.19,7.29
809,810,Rajanna Sircilla,2017 - 2018,rabi,Maize,9.071428571,17.6,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,12.29,4.4
810,811,Rajanna Sircilla,2018 - 2019,rabi,Maize,9.985714286,18.6,41.4666666666667,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.18,6.72
811,812,Rajanna Sircilla,2019 - 2020,rabi,Maize,14.82857143,9.7,45.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,5.61,6.91
812,813,Rangareddy,2014 - 2015,rabi,Maize,19.75714286,27.6,41.4,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,13.7275,4.64
813,814,Rangareddy,2015 - 2016,rabi,Maize,16.98571429,27.4,43.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,13.7275,4.77
814,815,Rangareddy,2016 - 2017,rabi,Maize,6.842857143,28,40.7,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,14.12,2.72
815,816,Rangareddy,2017 - 2018,rabi,Maize,11.92857143,22.2,35.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,9.78,4.24
816,817,Rangareddy,2018 - 2019,rabi,Maize,9.842857143,23.3,40.8,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.55,3.27
817,818,Rangareddy,2019 - 2020,rabi,Maize,10.14285714,11.3,43.7,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,13.46,3.67
818,819,Sangareddy,2016 - 2017,rabi,Maize,2.414285714,29.6,42.1,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,11.21,4.14
819,820,Sangareddy,2017 - 2018,rabi,Maize,8.1,18.9,33.1,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,11.11,4.03
820,821,Sangareddy,2018 - 2019,rabi,Maize,7.442857143,19.7,40.1666666666667,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,18.96,2.79
821,822,Sangareddy,2019 - 2020,rabi,Maize,11.14285714,10.6,45.3,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,16.89,3.57
822,823,Siddipet,2016 - 2017,rabi,Maize,4.3,28.6,41.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,10.96,4.51
823,824,Siddipet,2017 - 2018,rabi,Maize,7.4,21.4,34.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,11.41,6.24
824,825,Siddipet,2018 - 2019,rabi,Maize,12.98571429,19.8666666666667,40.1333333333333,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,17.19,4.37
825,826,Siddipet,2019 - 2020,rabi,Maize,11.64285714,9.6,44.4,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,10.52,5.48
826,827,Suryapet,2016 - 2017,rabi,Maize,10.91428571,29.6,42.6,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,6.62,6.81
827,828,Suryapet,2017 - 2018,rabi,Maize,12.80357143,24.3,36.2,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,8.11,6.9
828,829,Suryapet,2018 - 2019,rabi,Maize,11.68571429,22.4,41.5333333333333,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,8.26,6.5
829,830,Suryapet,2019 - 2020,rabi,Maize,12.7047619,13.3,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,5.58,6.96
830,831,Vikarabad,2016 - 2017,rabi,Maize,4.942857143,27.6,41.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,9.47,6.8
831,832,Vikarabad,2017 - 2018,rabi,Maize,9.5,18.4,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,10.14,6.9
832,833,Vikarabad,2018 - 2019,rabi,Maize,5.585714286,18.8666666666667,39.9666666666667,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.86,6.5
833,834,Vikarabad,2019 - 2020,rabi,Maize,10.25714286,10.6,44.7,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,12.25,6.93
834,835,Wanaparthy,2016 - 2017,rabi,Maize,5.8,28.7,41.7,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,8.04,6.81
835,836,Wanaparthy,2017 - 2018,rabi,Maize,5.91429,21.5,33.9,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,6.13,6.9
836,837,Wanaparthy,2018 - 2019,rabi,Maize,7.45714,21.4,40.0333333333333,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,5.79,6.5
837,838,Wanaparthy,2019 - 2020,rabi,Maize,7.08571,14,44.5,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,3.58,6.95
838,839,Warangal,2014 - 2015,rabi,Maize,27.617,27.5,43.5,7.56,209,49,552,1.24,24.42,1.87,9.59,6.05,6.41
839,840,Warangal,2015 - 2016,rabi,Maize,12.4667,28.7,44.1,7.56,209,49,552,1.24,24.42,1.87,9.59,6.05,6.43
840,841,Warangal,2016 - 2017,rabi,Maize,3.93333,30,42.3,7.56,209,49,552,1.24,24.42,1.87,9.59,5.88,10.36
841,842,Warangal,2017 - 2018,rabi,Maize,13.8667,20.7,35,7.56,209,49,552,1.24,24.42,1.87,9.59,6.63,8.34
842,843,Warangal,2018 - 2019,rabi,Maize,13.1667,23.66,41.92,7.56,209,49,552,1.24,24.42,1.87,9.59,7.84,8.79
843,844,Warangal,2019 - 2020,rabi,Maize,15.6167,11.4,44.7,7.56,209,49,552,1.24,24.42,1.87,9.59,3.85,6.84
844,845,Hanumakonda,2016 - 2017,rabi,Maize,0.84286,29,43.1,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,5.88,7.35
845,846,Hanumakonda,2017 - 2018,rabi,Maize,13.0143,20.1,34.6,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,6.63,7.57
846,847,Hanumakonda,2018 - 2019,rabi,Maize,12.5857,19.5666666666667,40.8666666666667,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,7.84,6.16
847,848,Hanumakonda,2019 - 2020,rabi,Maize,15.0429,9.6,44.9,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,3.85,7.25
848,849,Yadadri Bhuvanagiri,2016 - 2017,rabi,Maize,5.171428571,28.3,41.8,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,9.41,6.8
849,850,Yadadri Bhuvanagiri,2017 - 2018,rabi,Maize,11.28571429,20,35.1,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,9.58,6.91
